greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
16287997;15212701;16290529;15231680
16261315;15161125;16408611;15264587
16253100;15178313;16278654;15168224
16303633;15156235;16165504;15230859
16331771;15196294;16281840;15191119
16304857;15271977;16240661;15261391
16291525;15183140;16364591;15262800
16306476;15231801;16167715;15195714
16240500;15229418;16331162;15190658
16136512;15103849;16367807;15229204
