greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
10797640;10148917;11027494;10158119
10877372;10159143;10728031;10120320
11132383;10157896;11477954;10118819
11077497;10172680;10871726;10119522
11351472;10162330;10892203;10121745
11412979;10190994;11040864;10178842
11245096;10257711;11292045;10120372
11097197;10137949;11461748;10168174
11215052;10167232;11017286;10199188
11313346;10146725;10901311;10169470
10888460;10220593;11245971;10118719
11053803;10169802;11170765;10149921
10927841;10121220;11351341;10143927
10795173;10164385;11125395;10158209
10776482;10162330;10721676;10173149
11348549;10148510;10772195;10141360
10980069;10223959;11457387;10140806
10849624;10145950;11282525;10164318
11020639;10140983;11006666;10242875
11176578;10119403;11167787;10160579
11175724;10159628;11601371;10122645
10847744;10174475;11252968;10199679
11286931;10155464;11323969;10239751
11139709;10139644;11080760;10119559
10954025;10247573;10803324;10117208
10891477;10159628;11092261;10171868
11047575;10213505;11200178;10182322
11081468;10162330;10858534;10226267
11324810;10137070;11582898;10120022
10666577;10240081;11381520;10122028
11523227;10124095;11210578;10121455
10832155;10121846;11114614;10120167
11351340;10151548;10960009;10172128
10920370;10167191;10941005;10168844
10840267;10263523;11246723;10158209
11028800;10179255;11040572;10158280
11684779;10148458;11015947;10230502
11081001;10159525;11118420;10148703
11187875;10147416;11279696;10158106
11195082;10162330;11246344;10142387
10724263;10161513;11129195;10185902
11262555;10123417;10974284;10119616
10796152;10119899;11237353;10160067
10888447;10120576;11355046;10209471
11005531;10159143;10762149;10256931
10946778;10166120;11160619;10192133
11208787;10147655;11043458;10146049
10961779;10160579;11410345;10177832
11544710;10123082;11193410;10120805
11140699;10158383;10990007;10196275
10759491;10210205;11351762;10158596
11101882;10122922;11244510;10168596
11451823;10158383;11394462;10138529
11288658;10167942;11132421;10122611
11101849;10162688;11072394;10146673
10890480;10172887;11003695;10160476
11026042;10121780;11266923;10121012
10976068;10122041;10887576;10171347
11137683;10154137;11422860;10143295
11256040;10185791;11420951;10120412
11635423;10161513;10625862;10120860
11405077;10149562;11174463;10117208
11365533;10138813;11050912;10158222
11095417;10140021;11075058;10143663
11558152;10172702;10848925;10208836
10884043;10149056;11778523;10117393
10906870;10173696;11067598;10206640
11004177;10158567;11036746;10164324
11288498;10214360;10960643;10174602
11341775;10123194;11206556;10119753
10731401;10160067;11524315;10197122
10789568;10167495;11045482;10160707
10917711;10159143;11583484;10146907
10994067;10146933;11504031;10119917
11174653;10147445;11506417;10124306
11203948;10158222;11282081;10168245
11137749;10164104;11359705;10160562
11002156;10164104;11414178;10158778
11162879;10171339;11079308;10205924
11239657;10141144;10617136;10119661
10837435;10147555;11116827;10155430
11241188;10167450;10939560;10120483
11479909;10243163;10918495;10210039
10771646;10158873;11099733;10169516
11386026;10156604;11143834;10241500
10776704;10148653;11057462;10163235
11074264;10160579;11081502;10121138
10711089;10120372;10924744;10137240
11172982;10121428;11338890;10119265
11347715;10158106;11074810;10175646
11188143;10182633;11570609;10119656
10788046;10122443;11336200;10120025
11014080;10162330;11074545;10162248
11579679;10158222;11343979;10121271
11035198;10169762;10917759;10118598
11223893;10153101;11674032;10159143
11441730;10149005;11018786;10163873
11250920;10175748;11447662;10120287
10865023;10147043;11150398;10120332
11221412;10158952;11203238;10119899
10985910;10153905;11034535;10119881
11087081;10147569;11490367;10118598
11432483;10158383;11193719;10230742
11361995;10180233;11489033;10165099
11217031;10145538;11196814;10246760
11612094;10168225;11633547;10145464
11149941;10156134;11403289;10123819
11214118;10148161;10995446;10120145
11329831;10159143;11110150;10124883
11027264;10163873;11196478;10205512
11209414;10162330;11364933;10189344
11158566;10152210;10990734;10160579
10816362;10159628;10729823;10164324
10953942;10188592;11498071;10121117
11334117;10123719;10891646;10172282
10771046;10119822;11271512;10167514
11147252;10178819;10886393;10148269
11292788;10201348;10951750;10174210
10900529;10119465;11211548;10159906
11714791;10120764;11177134;10147115
11223228;10136636;11267120;10121453
11960167;10146703;11077498;10132755
11369107;10141118;11009200;10187269
11120771;10118972;10953888;10122985
10826494;10121252;10952202;10171508
11106397;10275360;11197999;10175637
11464155;10121085;11291712;10169802
11176510;10169276;11264894;10273042
10758454;10123449;11049014;10170268
11114868;10120483;11109380;10142009
11228342;10173523;11281949;10149367
11002872;10271831;10759146;10149618
10802262;10161048;11175005;10121314
11530295;10162330;11502115;10119881
11298399;10120990;10943289;10160579
11052478;10159628;10917569;10143565
10896062;10150516;11445965;10148273
10882282;10121045;10959968;10119296
11027806;10121359;10845419;10120684
11083838;10120764;11274273;10199051
11231011;10171405;11503185;10119508
11284909;10121220;11033326;10118177
11162729;10158383;10983880;10205735
10947829;10174495;11022307;10191860
10917094;10158567;11067195;10118542
10607863;10173158;10941713;10119751
10951152;10119599;11214065;10120763
10962346;10173886;11282215;10121093
11018666;10147860;11226301;10117573
10707587;10158119;11406593;10167072
10932898;10173158;11433122;10143851
11773179;10147896;11318595;10118819
11100756;10208111;11257581;10145471
11365511;10121171;10861216;10158849
11016382;10179198;11391578;10119481
11250101;10164552;11567958;10164295
11057959;10159628;10949492;10118694
11025604;10148999;11149415;10119508
11146129;10118812;11403963;10162492
11016865;10158209;11181961;10159726
10979646;10164318;11110093;10146275
10972646;10120773;10930531;10159628
11384041;10162330;11202818;10158580
10918366;10177125;11163582;10205294
11023076;10199773;10814293;10204716
11427198;10175952;10685342;10137794
11109607;10151647;11147854;10146550
11314157;10123542;10972795;10243973
10789384;10153448;11550311;10120773
10747170;10121834;10870545;10148474
10911943;10137478;11063334;10168874
11536475;10120764;10865868;10164047
10930839;10123272;11338644;10147400
11262734;10185295;11458789;10136707
11426773;10154700;10719404;10158209
11556363;10159628;11046713;10166620
11285945;10154584;11127745;10168874
11111129;10166243;10846937;10200019
11187251;10123045;11031479;10158383
10890836;10120576;10811771;10158952
11064785;10159143;11114976;10143939
11133793;10122005;11061453;10120332
11231962;10171508;10640752;10137985
10589028;10119899;11258128;10167726
11190051;10175904;11261910;10158709
10827420;10206930;10901204;10120763
10739482;10146581;10909784;10168210
11163020;10140447;10985946;10235177
11081522;10148479;11084102;10211974
11146513;10167191;11416245;10118362
10780518;10147920;11031455;10182735
11107981;10120153;11544001;10159071
11402552;10122630;10947536;10166639
11290169;10186665;10993716;10158222
11224832;10148999;10549625;10164318
10935131;10175917;11537087;10123196
11091560;10123405;11013045;10118177
10966137;10147760;10814754;10202072
10949549;10119719;10821002;10206406
10850101;10180611;10706655;10215426
