greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
50098;12310;45602;12284
32464;9916;40386;16246
39290;10214;55476;12472
32958;15800;28948;12096
34284;14024;37272;12478
51304;12852;44184;14514
31860;17144;31494;18824
55714;13604;43056;16790
37814;12862;38770;13264
57136;17976;57618;12208
58994;17784;35178;14676
39392;19912;38112;17108
28938;12548;48214;10506
42494;19326;39340;15420
33866;17536;48536;11908
54882;15306;42868;10096
44472;11198;42638;13426
31718;10804;47302;12820
51408;13496;30042;12560
45334;19014;56600;13526
47546;10192;45306;14096
50126;11926;38842;16204
53472;15072;33340;11596
39374;13858;29732;10790
46846;14272;51992;13674
28864;12444;47848;10192
41822;15518;31346;14032
48460;14296;42590;14714
49566;11198;48332;18198
48890;21434;55034;12560
40198;10506;47238;10804
50510;12560;61746;12548
38956;11248;39642;13662
56710;16972;32290;16762
40534;15420;55140;14430
35630;12294;35978;21068
52380;12310;48318;13798
32810;15554;51680;15930
30856;10580;40496;17760
48538;14280;37768;13090
55566;16506;40984;17612
39914;17034;55566;18242
52124;12050;43348;11908
64594;21816;53128;11668
35734;17824;43412;12850
42576;12926;60660;13726
38168;17362;40740;10214
36236;17362;61916;19002
41018;16484;45252;19522
53736;13302;44262;12050
38156;12482;40158;11418
41624;13298;53526;10096
46754;17654;45622;13954
44164;12304;31836;11754
31424;10580;37568;13328
53672;19684;47834;12824
42146;14272;31792;10506
47214;13336;56648;13430
53558;12008;39076;19680
44460;16152;36094;17494
29578;14296;46606;15008
35414;15250;34826;11876
57268;17200;48136;14670
41524;16930;57970;13302
64430;17784;41822;16666
22676;11908;33608;10624
55376;12216;32500;14188
40744;11838;41430;12776
46482;14624;24922;15332
53402;9552;48806;14724
38652;12208;46684;17460
46014;14340;44154;12156
27074;14644;41662;19098
42106;11216;51108;10624
64878;13430;56122;15518
49766;18406;36892;15326
40254;10688;47904;16378
51244;10214;34750;17504
45742;11852;37322;11326
56642;9552;61646;20622
51766;17026;65758;12294
56190;19350;58490;19092
36508;19424;38438;11946
32918;18574;36408;16152
29636;15636;59864;19756
31734;11216;42628;12284
44918;12174;42268;11010
48910;17886;55760;10192
53952;12222;49858;13858
39596;17184;55360;16264
56078;11668;48452;18068
43632;17376;55590;14986
49372;11926;38414;12548
43122;11402;56956;13902
54260;18926;36816;15362
27610;15210;57754;15582
47428;13798;35010;12816
56852;12444;52912;12062
49440;13080;43426;13238
48684;19774;55780;16110
40084;18246;51640;11248
59028;17836;31712;15924
37238;13264;51624;14158
57392;11560;57948;13798
21268;16916;39172;13726
47510;11198;54820;12820
33798;12096;34188;10624
38094;14992;49936;10580
40758;19856;55536;14310
45210;13430;54642;16762
38870;11944;47832;15372
50704;20992;53882;12190
61316;14296;46068;13432
33914;12444;62536;18802
45150;14530;50464;15320
42836;13628;36824;10580
32816;11458;47900;12492
50188;16560;53948;10790
42246;17500;44318;13194
38208;16150;42456;12062
44014;16066;50694;13302
50328;11514;42990;11560
39956;14106;51850;14670
43592;15306;29118;13296
61436;16588;34270;19792
44390;12560;42258;10096
52740;15758;53220;11198
30784;16062;36150;15440
53398;12386;38374;11932
52096;15652;36590;17702
41932;16744;51450;14468
60800;11556;51748;20102
39894;11558;39414;16058
34230;11248;37968;11926
58766;10192;46660;15518
42918;16702;46542;12208
45904;9552;33780;10192
44080;14444;39252;17232
43814;19340;25196;19738
44000;16076;43620;12734
39590;16516;50786;12738
53706;10192;39882;14114
38416;15014;45472;13798
32136;11780;32212;18330
29400;12548;41628;19904
37444;11992;46436;15496
53652;18496;40106;14644
30986;19562;42352;10240
42768;10096;38576;15210
43004;19336;55220;13798
49052;14608;40170;16828
50654;14528;45366;16666
46590;13264;50138;14400
53752;11498;38722;11838
33400;11374;41230;17644
43220;15030;43524;12174
37110;14934;47256;14630
58278;12352;45118;15320
44470;13740;32764;20032
37948;12284;48280;14266
38502;24144;60198;17208
38994;10804;55536;13448
41408;16302;30388;20780
44160;14904;35764;12190
51210;13628;53654;17316
43042;10790;50604;17490
35984;13994;41550;14910
49690;13430;50746;15106
48836;15800;56444;13618
58260;14494;41564;17590
36392;10096;52098;15686
39516;13726;55692;14782
43234;12018;24664;16888
48178;17890;52278;10192
52684;12482;45204;11852
41176;16212;59268;12352
36196;10476;32222;13094
54468;12352;56410;10122
37674;11248;53158;10476
42042;13454;38860;16302
51478;9916;35296;12310
52598;15624;47492;13094
38002;14934;48864;16786
48146;14308;27844;11838
45608;11216;52800;20420
29906;11780;51254;16844
32142;10624;50946;15044
62384;13380;38982;12314
38406;12392;36564;17742
38888;11560;44624;15800
57770;13726;46504;10782
37972;13476;47852;11852
50258;13476;51794;17232
54232;17412;41460;16930
54330;17824;39162;10096
56314;14904;42768;13140
35108;12776;43884;10096
52432;16790;46856;15440
45602;17122;45862;10214
52090;12246;42190;9552
