greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
70;28;68;28
72;30;66;30
62;30;68;28
64;28;50;30
68;32;72;32
70;30;70;32
60;34;70;32
72;28;46;30
64;30;68;28
68;28;64;28
58;30;62;32
44;32;52;32
78;28;50;32
74;30;58;30
48;32;56;32
50;32;72;30
56;30;60;32
44;32;60;30
58;32;70;32
44;32;62;30
68;28;68;32
60;28;44;28
52;32;64;32
70;30;50;34
74;32;48;32
62;30;64;28
60;28;64;30
60;32;62;32
60;32;46;32
60;28;56;32
62;30;64;30
44;30;74;32
68;30;70;32
64;30;52;30
70;30;44;34
52;30;68;28
46;32;62;32
60;32;62;34
56;32;72;32
72;30;48;28
70;30;58;28
56;32;46;32
64;30;64;32
64;28;46;32
46;32;74;28
60;30;72;30
54;30;62;32
66;30;68;32
58;32;72;32
58;28;52;28
56;28;56;30
72;32;40;28
74;28;64;28
66;30;70;32
56;30;58;32
70;28;44;32
68;30;48;32
68;32;58;30
48;30;68;28
56;32;42;32
70;32;62;30
66;28;72;32
66;32;48;32
58;28;54;30
52;30;66;30
70;30;56;28
60;28;62;34
46;28;68;30
56;30;64;32
52;32;44;28
64;32;56;32
60;32;64;30
60;30;64;28
54;28;76;34
66;32;64;32
60;28;56;32
70;32;62;34
64;30;66;30
56;34;72;32
62;32;58;32
52;28;58;30
72;32;72;32
64;30;70;30
64;30;46;32
50;28;64;30
74;34;50;30
68;28;66;32
66;30;54;32
68;30;62;32
62;32;60;32
70;28;62;34
66;30;64;32
66;32;62;32
64;28;66;30
66;34;62;32
56;30;62;28
62;32;60;30
70;30;60;32
58;34;68;28
80;32;50;30
64;28;70;32
66;32;72;30
58;32;70;32
44;32;68;32
66;32;74;30
58;28;64;34
76;32;54;30
72;30;68;28
40;32;66;30
62;28;70;30
56;32;62;32
74;32;60;32
66;32;70;30
58;30;72;32
76;32;58;32
62;28;60;32
70;32;70;32
60;32;64;32
56;28;62;32
68;32;56;28
56;28;68;32
74;34;60;30
52;32;66;30
58;30;68;32
40;30;68;30
56;28;60;28
68;32;52;30
48;28;56;32
58;28;66;32
46;32;56;32
64;32;58;30
72;30;64;32
62;28;52;28
54;32;56;32
72;32;70;30
62;32;62;32
70;32;52;30
76;28;74;28
72;32;54;28
56;30;66;32
66;32;76;30
58;34;64;32
56;30;52;28
60;30;60;34
64;34;56;32
68;32;62;32
52;30;52;32
68;34;68;30
48;28;52;32
50;32;66;30
70;30;52;32
66;30;72;30
66;30;66;32
68;34;64;30
64;28;66;32
54;32;72;32
70;28;62;28
68;28;64;32
72;30;64;32
58;32;74;34
58;30;54;28
80;28;50;32
66;30;58;32
40;32;68;34
68;32;56;28
52;30;74;34
72;32;50;32
50;28;52;32
48;32;68;32
62;30;64;30
54;32;66;30
52;32;58;28
66;28;72;28
72;32;68;32
58;32;58;30
68;28;60;32
58;28;60;28
62;30;68;32
64;30;62;30
76;30;52;32
62;32;58;30
56;30;58;32
44;30;60;32
66;28;52;32
66;30;62;32
56;32;64;30
72;32;64;32
40;30;58;34
42;28;62;28
68;30;74;32
62;30;58;34
60;32;52;30
50;32;56;34
68;30;48;32
62;32;54;30
52;32;56;30
62;30;60;30
60;28;60;28
62;30;50;32
70;30;48;30
