greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
1826;1668;1942;1678
1896;1674;1896;1682
1848;1712;1922;1654
1860;1670;1876;1696
1910;1660;1918;1686
1952;1686;1902;1680
1828;1678;1908;1664
1926;1672;1902;1684
1934;1678;1904;1684
1858;1680;1860;1686
1844;1672;1786;1676
1862;1662;1884;1676
1904;1676;1950;1676
1884;1700;1902;1686
1820;1678;1954;1670
1916;1674;1842;1664
1826;1666;1858;1654
1918;1664;1886;1676
1896;1682;1942;1666
1860;1652;1926;1664
1882;1660;1900;1664
1926;1700;1838;1666
1932;1660;1918;1682
1824;1676;1850;1664
1856;1688;1988;1676
1914;1686;1946;1714
1936;1682;1896;1688
1830;1652;1962;1656
1848;1676;1832;1662
1896;1678;1862;1682
1852;1684;1902;1664
1856;1682;1824;1682
1894;1686;1934;1652
1964;1676;1826;1672
1950;1682;1826;1674
1786;1686;1992;1670
1914;1682;1938;1676
1940;1696;1952;1686
1882;1686;1900;1664
1832;1676;1876;1682
1850;1676;1926;1652
1868;1660;1946;1670
1790;1696;1900;1694
1958;1686;1848;1678
1870;1664;1974;1662
1870;1688;1898;1680
1980;1682;1946;1724
1864;1702;1950;1684
1852;1662;1974;1656
1888;1666;1994;1686
1804;1656;1942;1676
1924;1686;1870;1676
1840;1660;1844;1686
1930;1682;1896;1666
1802;1656;1820;1660
1938;1684;1866;1660
1986;1670;1880;1656
1904;1674;1848;1660
1892;1694;1900;1654
1922;1678;1954;1678
1944;1684;1838;1652
1910;1678;1890;1678
1932;1688;1962;1700
1856;1686;1918;1692
1890;1676;1916;1670
1870;1676;1864;1666
1966;1688;1854;1678
1896;1684;1850;1712
1912;1682;2004;1654
1880;1674;1864;1660
1820;1674;1888;1652
1872;1660;1918;1688
1924;1656;1912;1674
1838;1660;1970;1676
1968;1682;1836;1674
1864;1678;1914;1676
1866;1700;1922;1684
1892;1676;1794;1652
1774;1674;1910;1702
1814;1664;1910;1678
1884;1674;1914;1652
1950;1678;1940;1682
1976;1686;1928;1652
1898;1676;1856;1656
1874;1702;1850;1660
1862;1672;1822;1680
1884;1710;1980;1656
1920;1684;1914;1696
1928;1686;1854;1656
1814;1676;1890;1686
1846;1686;1820;1678
1976;1696;1856;1700
2006;1688;1866;1664
1844;1680;1874;1662
1904;1660;1980;1660
1924;1682;1966;1662
1916;1686;1906;1676
1832;1680;1872;1714
1894;1686;1900;1676
1846;1664;1810;1662
1884;1680;1980;1686
1864;1674;1818;1682
1922;1682;1794;1652
1908;1686;1872;1664
1882;1706;1924;1652
1830;1682;1922;1666
1900;1680;1850;1688
1742;1676;1856;1724
1888;1676;1896;1654
1912;1678;1860;1684
1982;1660;1864;1724
1932;1680;1826;1686
1922;1678;2006;1662
1770;1662;1876;1676
1900;1692;1944;1676
1856;1660;1966;1682
1868;1686;2010;1652
1812;1660;1828;1686
1896;1664;1806;1676
1908;1656;1850;1674
1914;1686;1878;1672
1782;1656;1860;1676
1900;1684;1918;1716
1892;1652;1882;1684
1962;1656;1892;1652
1932;1682;1910;1674
1924;1676;1890;1684
1862;1712;1892;1682
1874;1684;1862;1682
1866;1682;1830;1666
1930;1660;1972;1684
1942;1678;1840;1696
1884;1688;1860;1660
1864;1664;1944;1676
1864;1684;1978;1686
1858;1678;1868;1692
1924;1682;1894;1662
1990;1656;1798;1676
1974;1676;1936;1662
1918;1684;1896;1678
1892;1652;1850;1680
1866;1678;1834;1680
1848;1660;1964;1684
1972;1660;1956;1656
1824;1664;1892;1660
1988;1686;1908;1652
1864;1660;1862;1678
1988;1676;2010;1684
1908;1674;1952;1676
1894;1682;1946;1660
1878;1670;1998;1666
1878;1654;1874;1674
1844;1656;1912;1696
1886;1656;1870;1686
1894;1678;1932;1712
1858;1652;1908;1678
1892;1676;1900;1664
1930;1678;1864;1686
1902;1688;1916;1686
1886;1686;1912;1674
1940;1656;1936;1674
1882;1676;1898;1652
1816;1664;1856;1652
1904;1690;1824;1654
1844;1678;1872;1664
1864;1688;1926;1670
1852;1682;1874;1678
1936;1686;1860;1676
1880;1664;1814;1652
1968;1678;1926;1664
1898;1676;1918;1678
1880;1686;1902;1680
1860;1660;1830;1664
1920;1674;1886;1710
1902;1686;1868;1656
1958;1656;1892;1690
1862;1676;1900;1682
1882;1678;1888;1676
1880;1696;1920;1676
1884;1686;1798;1684
1866;1674;1974;1684
1926;1660;1748;1680
1816;1656;1856;1664
1942;1690;1876;1686
1956;1666;1838;1654
1952;1680;1896;1680
1866;1664;1924;1678
1882;1670;1934;1712
1826;1662;1906;1674
1924;1662;1922;1728
1766;1674;1948;1684
1916;1682;1892;1662
1922;1678;1900;1676
1916;1680;1956;1656
1910;1660;1896;1674
1844;1664;1898;1702
1888;1686;1814;1676
1850;1652;1922;1686
1894;1666;1796;1678
1892;1664;1948;1684
