greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
133570;93920;134340;94100
133990;98760;137960;95490
140730;96850;136520;96030
135380;92170;128510;95730
134260;95650;138440;95020
126250;93500;139380;96480
138140;97050;137730;97600
134960;94940;131050;92260
128500;94250;141000;97700
131920;97000;134810;96620
134740;91750;136060;92970
130260;95530;136000;93420
132800;93700;137340;96710
140240;97400;127400;94460
134300;96550;137570;94170
134590;96640;136830;96770
138040;93580;138660;95540
138300;92950;138330;97520
138600;97080;135200;93220
135770;98670;133940;96120
139790;94340;134400;93200
130780;96070;132690;95830
131450;99000;138910;91960
128130;96980;137100;93550
134080;99670;138790;99020
139990;94070;135790;95370
137620;94580;138330;92420
135070;94280;134830;97560
136830;93610;137980;96430
126250;94420;128650;96230
124580;93360;139740;95450
139240;93550;143970;95460
131040;96900;129550;94200
137030;93250;136920;94170
136150;94090;130930;95210
138930;94000;134990;98720
135260;92770;126830;99900
128210;93260;137610;93680
136130;92700;137680;93960
127140;96220;140150;96610
128720;96950;135000;97160
132910;93420;135350;93740
142360;93320;134070;97880
134340;97820;135260;95350
132810;92800;130210;93350
135280;94220;129450;98330
132440;94810;126510;96660
138480;94800;139200;99680
135000;99030;136700;95830
137850;92810;131950;94980
143370;97640;139410;98010
132170;95720;138710;96970
135090;91650;134290;92460
143640;96770;131080;97940
128780;92750;128180;96050
139660;93610;135930;95300
140790;93150;134020;93470
135930;95290;133850;95770
144750;94660;139460;95380
131470;93450;133940;94560
136060;93320;133150;97740
130370;98070;140080;95460
141250;96160;134220;93420
128730;94810;133640;95890
141650;94950;132140;95410
123920;95870;141650;93270
136870;95920;132790;99660
130240;93300;134490;97410
134050;95020;129810;96540
127970;96040;128220;95890
137520;94160;141550;93910
133380;93530;147470;94160
132150;97400;132080;95640
140730;96930;139900;93220
133990;94030;134510;97110
136210;96470;135030;99070
133280;96200;129010;97090
135740;95650;131870;94870
136480;95050;140780;99170
138050;94720;134950;93100
136580;92270;137860;96500
134660;93690;132260;97630
137590;94070;135120;94720
132160;98900;127050;93610
139270;97490;137450;98910
137300;94570;131950;94200
130640;94550;125740;97690
127280;93950;139100;96420
132180;96890;134540;94420
133970;98890;127850;95500
141940;93100;133080;94010
137460;94340;136100;94250
134630;96760;137960;95860
136830;95400;137170;95080
140600;98150;134030;95320
137310;95180;142170;93270
144400;93580;142990;96910
138450;96190;129420;96690
136570;93370;139040;96200
137750;96000;137190;94300
144830;93870;135430;95040
133190;94370;125340;94970
132830;96550;134520;95140
134160;93660;134940;95710
128850;95550;127110;97360
136570;93640;134880;91620
132600;94960;140070;97730
140140;101610;129360;93660
129440;98920;132040;96200
139590;92490;136800;95560
128070;96800;136200;94770
137650;93840;143810;95440
137470;97520;133890;94820
131640;97520;131200;96930
142220;96510;137060;98120
139350;94870;137960;96870
133670;95770;141570;93170
126160;91990;129880;95620
134940;97830;142500;98800
137300;94140;140190;93920
137530;95060;131750;97750
139890;97960;126840;96860
137870;93720;133440;95110
140160;98930;134040;93360
137860;95570;136160;94580
133010;97130;134410;95740
135350;97040;139000;94370
135930;96580;136880;97090
132910;94630;136040;98390
134090;95010;137570;95710
123980;95400;131960;100630
131730;98160;137650;94440
132250;98300;130140;94620
137380;94440;135660;94920
130250;96300;135100;97050
132500;94220;139190;93060
134070;97230;142660;99080
137090;97360;123480;96660
136220;93830;134740;96270
129170;93560;142060;94070
136130;95630;137270;94580
135890;95310;139190;98110
134880;92490;137210;97070
133350;95640;140000;96790
129110;97710;134580;97320
140250;94880;130350;96250
139410;97160;132080;98870
132100;94870;127960;93450
135780;93770;144310;97490
135770;96230;125880;95550
135370;95470;139500;94700
125930;94660;131630;96070
133300;100520;128880;98130
131300;94750;130430;98290
133850;96410;140010;91950
138060;94920;137920;94090
131410;91740;134470;92250
133560;92800;143510;93320
137840;95500;136740;95870
141000;97370;130320;94660
137540;95370;134400;98320
132640;94370;138430;96620
137690;93450;127170;93690
141090;96460;135750;96440
134020;98980;133780;96300
131510;98370;130740;96110
142940;95660;132950;95470
139560;94250;136400;97520
132500;99080;132840;91720
141970;94280;134110;99390
133700;95660;132780;96440
126830;96320;138490;92700
133450;93440;124010;98590
136190;94680;137160;96070
132260;94760;135500;94270
127890;95360;140660;95130
139290;94820;134400;98200
142160;93840;133790;94400
141840;91620;129360;98160
133710;92920;135190;95540
130000;98940;131670;97520
128710;95280;133380;94250
135570;96400;131570;96830
136090;94830;136790;96310
132740;96440;141860;98060
136840;97660;136330;97900
131550;93870;137750;97750
137440;97720;140960;96230
133410;97180;132020;96260
137210;93670;129660;96390
141430;96820;125910;94430
132370;96370;139440;92250
146750;96280;134470;97440
137900;96320;127160;92210
129360;96390;137310;94880
136120;92240;136800;96320
137620;95780;126500;96830
127150;93950;133940;95400
141580;94780;129150;97360
133690;95140;126510;95540
