greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
16274031;15225517;16244499;15235851
16282675;15241751;16287468;15185502
16278364;15178680;16351414;15244667
16323055;15170366;16349024;15164756
16447004;15186571;16293763;15236661
16261466;15176218;16280620;15228572
16349675;15290015;16291454;15206113
16368657;15143327;16139702;15199943
16329218;15222176;16251715;15264246
16255613;15222052;16387624;15207994
16279442;15175772;16294148;15293881
16308860;15187649;16277810;15273164
16410923;15195125;16173366;15223034
16319558;15197809;16240662;15257945
16348302;15183445;16293825;15295638
16315820;15190578;16377674;15201415
16316703;15148893;16367539;15211838
16339347;15214650;16432858;15237282
16318788;15237824;16335798;15223167
16314813;15137862;16328462;15180184
16250610;15200708;16286994;15273903
16356235;15189574;16297322;15302189
16282060;15205702;16205710;15248426
16332668;15213487;16236625;15198742
16292763;15173196;16280639;15154508
16320041;15202623;16336047;15220803
16397245;15273365;16305429;15254895
16357231;15287725;16252763;15177856
16356391;15199105;16349470;15261026
16252420;15210052;16238090;15194848
16224614;15216877;16274085;15208305
16329393;15160712;16320563;15197439
16267746;15205962;16280148;15218100
16237737;15163291;16317238;15256673
16388343;15223471;16358235;15135391
16291874;15258981;16308765;15219499
16306470;15222619;16281877;15240440
16260612;15204031;16240617;15275551
16307646;15153378;16313670;15277743
16376109;15209907;16374249;15232030
16301281;15241212;16311505;15183941
16350078;15184421;16356022;15244842
16274792;15233604;16365144;15327009
16364742;15186534;16362886;15244053
16190680;15181166;16169440;15249236
16258412;15195605;16194401;15203441
16294823;15229603;16194465;15197836
16344643;15213768;16386116;15226957
16268698;15252262;16266699;15231369
16194052;15202614;16403473;15296362
16333177;15203309;16323122;15239798
16196855;15192460;16317017;15191389
16232421;15156002;16406392;15225494
16340806;15167988;16324760;15280159
16370576;15207416;16185915;15216283
16325334;15187126;16230246;15216645
16294599;15158610;16298661;15193261
16288656;15261622;16242896;15173267
16218833;15209993;16287745;15225056
16341740;15141654;16220957;15266278
16299340;15211160;16295159;15142994
16295836;15154033;16376752;15185325
16273977;15228571;16343870;15273599
16374021;15191679;16273664;15224700
16303006;15208535;16272552;15254529
16297892;15230145;16337845;15224674
16260228;15171416;16123732;15164334
16189312;15172112;16335678;15176207
16275880;15174750;16342389;15219954
16341594;15243621;16374312;15262084
16406680;15199247;16313953;15205281
16272736;15225791;16275571;15173583
16195248;15240080;16376897;15222557
16343441;15253596;16260135;15273835
16208997;15197954;16329434;15241175
16310940;15225343;16240023;15226189
16303985;15213655;16298338;15232901
16282156;15247193;16440294;15222376
16338007;15224537;16277372;15248554
16251954;15216958;16315706;15268888
16319100;15206790;16336529;15222439
16367090;15186894;16347314;15271743
16210588;15235095;16320332;15214311
16396158;15189106;16208299;15222899
16172602;15197394;16334462;15200221
16402886;15235265;16294856;15241739
16253871;15206565;16301001;15275239
16238526;15246670;16348423;15285159
16309493;15199082;16339659;15170531
16302377;15225305;16292671;15214352
16203241;15211597;16286706;15199243
16382525;15199115;16313735;15254629
16276574;15219379;16294838;15244867
16274277;15144144;16290352;15258867
16358785;15175436;16362904;15173336
16303131;15239779;16333642;15235883
16405695;15199728;16278388;15203667
16211808;15248872;16327299;15197353
16305229;15274877;16209654;15229238
16354861;15237392;16337283;15212508
16358317;15222221;16316939;15219098
16286662;15204526;16366495;15192254
16255051;15196509;16262895;15285310
16189154;15228012;16422442;15256964
16373539;15208359;16250393;15302593
16260996;15188673;16223590;15263234
16305548;15218532;16271531;15227463
16249906;15159906;16235322;15298853
16322679;15235555;16297313;15288751
16301039;15205595;16276824;15181633
16291790;15192743;16389824;15235857
16266363;15211282;16374354;15214088
16246054;15285155;16333601;15258624
16222425;15182490;16303240;15207444
16357146;15252243;16347426;15282728
16297455;15220029;16187273;15193227
16277196;15235858;16214852;15218563
16232859;15206567;16353836;15227195
16303071;15211695;16269800;15171090
16298023;15187648;16306852;15265654
16283510;15155767;16162179;15203597
16430825;15195870;16247203;15224586
16379880;15176201;16239311;15219599
16328518;15216839;16282787;15249917
16383403;15177226;16258970;15200030
16317661;15257346;16325193;15221337
16251636;15159743;16218677;15254295
16300928;15199421;16383258;15314599
16161044;15205658;16368939;15257969
16338509;15197439;16344022;15203938
16317161;15223348;16248250;15163183
16212066;15199491;16220459;15226153
16336005;15158852;16302521;15231242
16215617;15214804;16293392;15310272
16363333;15182563;16302217;15202249
16433770;15191425;16263217;15210939
16222039;15206502;16249541;15230929
16347761;15185740;16352115;15205309
16258959;15230888;16196459;15303664
16317001;15236744;16229216;15204678
16310690;15131526;16303111;15221975
16349373;15204682;16363555;15238536
16420025;15196082;16219036;15203749
16291756;15187892;16166265;15243619
16295358;15174363;16313954;15237705
16257923;15176536;16403265;15207916
16370255;15196848;16300477;15176542
16344849;15143936;16194246;15216033
16303690;15215557;16389432;15212633
16276690;15233955;16252202;15200980
16409238;15242646;16277447;15192432
16377748;15197697;16253604;15234982
16264889;15171732;16335259;15186520
16308392;15254979;16290306;15233638
16363766;15205964;16385476;15265275
16309888;15198530;16279003;15224320
16339338;15217689;16363442;15289355
16340809;15160036;16352730;15234748
16290244;15251888;16347816;15237725
16303914;15197913;16300205;15227262
16236777;15168686;16360816;15160436
16332964;15209893;16299005;15215219
16254243;15193188;16215891;15199793
16342783;15214458;16259499;15214297
16221456;15174288;16274240;15157663
16464126;15155199;16231633;15327634
16351818;15254334;16294849;15251561
16337529;15165595;16291836;15193443
16363670;15211190;16156211;15180011
16350887;15203659;16396765;15231852
16369627;15222635;16368379;15190513
16197243;15206358;16344698;15230909
16255374;15203438;16380611;15184549
16350856;15152402;16254070;15261159
16272755;15157699;16295729;15225522
16336160;15215642;16283609;15282710
16333989;15211092;16262567;15247256
16375693;15187821;16254529;15220735
16381764;15189151;16315730;15195833
16358608;15190095;16321862;15220409
16212013;15154370;16320871;15212099
16282870;15193454;16283777;15263054
16333893;15170571;16293780;15233598
16212643;15196761;16229420;15220936
16348770;15215460;16391549;15257380
16260801;15244571;16283330;15224874
16312573;15223036;16202549;15203159
16283292;15228744;16363094;15243530
16389550;15206565;16273083;15236331
16231028;15202647;16281941;15202287
16404856;15213359;16354602;15273202
16352422;15236384;16312451;15224018
16384192;15238822;16358622;15222807
16392441;15191080;16313354;15233268
16285634;15162858;16305263;15201712
16242481;15174154;16270642;15273165
16352964;15222991;16322425;15275994
16319636;15224002;16356503;15237045
16375013;15217625;16364060;15271420
16360462;15223718;16198241;15237867
