greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
2564;2004;2616;1980
2656;1990;2546;1992
2532;2016;2502;2082
2546;2002;2796;1998
2670;2028;2486;2012
2586;2020;2662;2044
2518;2042;2630;2004
2566;1978;2428;1982
2470;2020;2590;2002
2536;2034;2652;1986
2384;2012;2588;1986
2480;2018;2618;2020
2774;1980;2738;2040
2564;2066;2684;1986
2588;2018;2370;1998
2450;1970;2620;2012
2752;2036;2448;2018
2498;2020;2576;2012
2506;2040;2638;2026
2562;2000;2576;1982
2476;2028;2634;1990
2594;2042;2456;2018
2602;2042;2670;2016
2536;2052;2506;2024
2506;1994;2490;2050
2638;2036;2602;1996
2580;2024;2518;1974
2738;2042;2514;1968
2530;2058;2530;2014
2668;1968;2600;1992
2558;2018;2598;2054
2566;1954;2602;2012
2606;1962;2466;2038
2568;2000;2566;2008
2596;2052;2620;2012
2638;1960;2682;2058
2348;2010;2408;2036
2696;1996;2648;1976
2598;1988;2544;2010
2446;2056;2506;2060
2506;2018;2510;2064
2492;1980;2550;2020
2722;2034;2648;1998
2480;1994;2492;1986
2516;2090;2466;2072
2586;2016;2462;2020
2622;2036;2556;2030
2692;2018;2734;1998
2526;1994;2536;2104
2390;2048;2660;2074
2620;1986;2750;2064
2372;2014;2736;2012
2612;1992;2580;2026
2506;2020;2606;1964
2522;1990;2502;2062
2544;1982;2668;2022
2554;1988;2566;2000
2476;2032;2444;1994
2628;1988;2640;2018
2528;2002;2550;2032
2610;1980;2584;2036
2602;2082;2536;1996
2626;2026;2512;2046
2620;2062;2650;2018
2360;2018;2490;2034
2530;2010;2696;2050
2428;2040;2612;1988
2534;1964;2632;2020
2424;1964;2394;2020
2522;1982;2472;2020
2538;1950;2614;2000
2418;2062;2438;2038
2582;2014;2402;2014
2554;2038;2714;2020
2562;1974;2614;1980
2636;2016;2638;2006
2700;2030;2622;2008
2466;2000;2682;2014
2676;1982;2578;2028
2586;2068;2748;1998
2556;2030;2554;2042
2600;2014;2586;2004
2606;2024;2586;2002
2508;1992;2762;1962
2440;2056;2618;2022
2602;2010;2692;2000
2610;1996;2468;2014
2570;2118;2626;2012
2466;2114;2490;1992
2344;2022;2540;2030
2594;2050;2546;2000
2548;1984;2578;2010
2598;2040;2548;2004
2538;2042;2558;2098
2350;1960;2494;1990
2494;1998;2598;2024
2338;1966;2676;2020
2596;2018;2592;1988
2634;2018;2446;1968
2526;2046;2482;1978
2558;1996;2392;1986
2512;1984;2570;2046
2388;2046;2758;2008
2580;2046;2442;2078
2466;2024;2834;1982
2760;2038;2552;2014
2526;1984;2758;2028
2520;2026;2512;2072
2446;2034;2652;1964
2572;1990;2694;1978
2532;2082;2408;2018
2596;2000;2396;1996
2458;1972;2490;2002
2656;1984;2586;1988
2646;1968;2540;2010
2564;1966;2572;1978
2598;1970;2586;1992
2680;1966;2540;2002
2680;1982;2722;1980
2508;2038;2574;2032
2508;1994;2732;2036
2556;2036;2564;2026
2424;1990;2688;1962
2620;2034;2466;1990
2508;2038;2682;1976
2456;2054;2514;2022
2612;2026;2522;1988
2624;2022;2738;2024
2472;2060;2462;1990
2540;2024;2558;2000
2482;2060;2532;1974
2560;2048;2336;1994
2788;2038;2546;2034
2820;2002;2626;2020
2556;1982;2368;2056
2490;1998;2620;1948
2420;1972;2514;2036
2662;1990;2556;2026
2530;2016;2554;1984
2696;2006;2496;1990
2862;2062;2454;2026
2724;2026;2660;2032
2658;2020;2604;2066
2446;2002;2520;1982
2676;1962;2578;1990
2540;1964;2526;2056
2570;2026;2522;2004
2496;2002;2744;2010
2576;1984;2632;1978
2464;2020;2492;1980
2604;2048;2688;2038
2732;2000;2768;2032
2364;1948;2632;2042
2486;2072;2632;2012
2610;1986;2448;1996
2676;2000;2550;2046
2510;2010;2438;2082
2632;2028;2518;2010
2476;1968;2720;1958
2442;2008;2424;2002
2504;1964;2570;1980
2488;2032;2450;1992
2636;1994;2776;2006
2652;1986;2620;2018
2602;2022;2600;2014
2524;2044;2618;2006
2830;1974;2598;2014
2528;1986;2482;2030
2628;2060;2492;1986
2704;1964;2568;1984
2728;2010;2498;2042
2602;2094;2470;2046
2454;2050;2452;2010
2640;2048;2506;1998
2572;1990;2438;1996
2668;1970;2668;2050
2614;2024;2626;2006
2432;1996;2678;2086
2452;2018;2470;1960
2536;2024;2592;2034
2608;2084;2548;2022
2560;2100;2542;1970
2642;1990;2576;1974
2486;1954;2634;2064
2622;1978;2580;1996
2600;2066;2576;1986
2716;1984;2408;1994
2654;2056;2536;1994
2468;1980;2710;1990
2482;2054;2624;1980
2420;2022;2582;2032
2556;2036;2696;1998
2492;2018;2542;2038
2618;2012;2576;2006
2530;1986;2602;2050
2486;2038;2614;2010
2616;2002;2498;2024
2696;1998;2496;1956
2434;1984;2308;2020
2538;2026;2540;1972
