greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
223386;123318;198434;118848
220442;110868;224822;117714
253442;115212;219160;129320
223726;128350;230402;113716
249118;120678;227408;119310
242388;117246;208622;113140
220910;129952;254158;136522
213960;120248;236612;121756
219930;132132;248216;113164
236238;115934;228914;115726
158992;124948;221480;119770
220196;112588;173222;127118
215446;119816;253582;116100
212992;126598;239644;124982
223886;135702;188740;118746
220782;121444;220334;115048
220528;123884;189408;129048
208246;134056;239320;120538
228050;124124;203138;124150
199626;119926;217880;116704
212346;127026;226448;123428
234678;117450;201684;117466
234338;123824;232102;122306
238010;121350;230438;117950
205484;118338;216804;120490
263102;125798;240200;124528
221052;116028;233318;120984
235056;114470;231982;121748
179158;118734;217584;118010
216282;124832;223148;114540
207988;131114;257658;115572
260144;110868;235076;116558
219730;116000;205028;122582
221132;120064;212818;116214
240162;122230;204170;120278
234034;116968;228418;131686
246126;125342;221036;123136
223924;116706;221494;122390
235510;122266;242750;112716
227258;127528;205326;129158
221404;115074;244874;123340
221664;125742;228086;130348
227496;128074;244924;122904
234112;122900;208918;117800
270274;116762;257416;118910
245132;118686;198734;122100
203768;113700;200756;117970
223830;126006;218808;120736
249596;124840;224108;114454
265226;123766;248632;117256
206704;131610;216754;121366
232370;136152;210934;121346
265002;117200;229838;129786
224514;132264;267296;117462
212010;121168;219504;130562
210954;119186;232310;124922
228364;131302;233994;117150
258188;120748;207682;114554
236916;116008;239622;112958
211704;120134;209860;115050
222956;126602;239624;120194
206118;116946;232926;119672
241914;117886;228194;129728
249252;119208;189852;124564
232052;120686;269960;117466
234140;131386;230108;120952
215204;117918;188214;120612
196316;123692;244200;116932
216296;125688;250834;126474
226596;119294;215534;113980
247632;129182;221040;116068
235714;123874;258278;124712
237426;113632;248528;114922
204846;135416;207454;117950
234962;120396;230644;128800
234754;115834;215978;112712
196086;124670;234870;122240
238346;126294;197080;124270
221362;113804;201336;127504
215378;124634;235198;123794
237656;115954;225852;115686
213320;126070;231978;116114
271392;111078;223620;111806
229706;130286;209602;129302
228538;120756;203560;115014
234382;116334;234156;119120
199710;129394;255356;121440
193296;119088;271442;114098
214822;118708;194086;123134
227358;119854;213536;111926
226100;124528;248538;119358
203134;116134;187964;113768
209682;125868;227700;125484
240146;114148;218182;114246
264882;120802;202440;139224
195734;117738;265442;116708
248508;113892;222810;117182
197878;128094;225708;112248
250316;131154;231948;120530
244632;119160;233586;121358
234476;110058;229220;122574
205250;114436;232752;114744
211424;127972;193298;120142
267420;114278;178932;111872
236696;121194;240524;114112
239266;115610;238426;117474
221906;120382;226608;115216
232602;124784;206558;120866
211112;120950;242598;122168
235304;121828;252900;114426
190200;126760;209374;116010
270124;121310;256876;119672
228344;117980;233576;115024
246762;119760;246912;125332
236518;114898;209546;128170
235250;126234;217888;118514
242662;131670;243134;118492
241292;124578;238242;122782
205756;126724;224502;113466
220134;128634;232350;132314
261458;118152;203612;127194
226618;119346;241168;117150
223600;116410;253904;116540
230802;124868;223812;118018
220432;134512;221858;116850
214430;115776;218152;116672
209852;118152;204440;119430
246018;118872;208470;119500
238534;119866;242976;125484
216168;126082;231430;121052
213802;118032;240568;129652
257912;117800;224100;116296
195478;134886;219132;132452
252440;112588;212022;138496
246846;120750;217772;116264
240642;132264;246606;117428
216986;122748;252376;122672
223958;124216;193116;119698
249168;126038;228878;131206
205958;115082;248826;124226
234754;123836;218376;115536
248678;125946;235662;118668
256622;114180;210008;118322
244510;116994;242276;116530
186564;120616;201634;112248
233952;116710;249302;113600
250862;117614;239342;124994
257062;120164;204176;116954
250198;125648;246698;118910
193310;119816;214354;118434
276402;121262;201896;124914
234948;118222;209038;120626
243768;119774;228322;117400
185596;120056;234978;121256
233854;117630;220362;126566
227694;130534;232088;132050
248056;117780;225110;134702
210848;115274;212708;124736
232614;114644;245652;110868
236334;114678;238268;114994
216542;127678;211722;122878
248028;118992;244222;119678
212922;128362;224782;120290
204726;119698;237096;119746
243436;128040;218034;118252
227078;123752;211374;121102
232406;128076;201310;121218
207454;118190;202440;115928
226454;125490;207370;122702
243528;121434;222240;120800
248890;121084;225718;123090
216662;118914;255888;120038
233922;122832;220460;113252
221046;116164;196542;114246
210878;127472;224696;123642
206504;117126;196892;122978
257650;122760;219748;133344
198184;120980;182364;121658
239900;130618;220086;115276
187138;116306;221902;118388
201818;120308;216164;123008
220530;116956;237974;112240
248352;128138;252626;116366
183648;114092;241832;128976
228344;134152;242276;118152
227894;120992;216572;127978
222578;128200;228016;114652
240096;123160;228134;125552
223376;114450;215372;114552
247998;113142;243568;120128
221498;115006;246640;118816
193562;117682;242606;123914
238690;118710;218512;117962
220582;118170;236812;116044
204698;121086;223698;125846
235400;112156;184172;125220
237492;115756;252392;114398
220178;116600;251364;123534
240892;128070;230796;120490
234952;113952;226588;116562
