greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
176778;153234;175908;155474
178720;153460;176692;154874
177314;153514;177626;154844
177424;154106;176996;155832
176832;155620;180324;155146
177546;155246;178452;155546
176026;153968;177538;155606
176544;154280;178450;156076
177280;154314;182002;155736
178724;154376;177480;156268
178404;154512;176316;154768
178080;154266;182008;155720
178194;155208;179148;155328
177514;153878;179282;156412
174316;154704;179292;155128
175964;155232;178700;155972
178764;154924;179682;153938
178198;153572;180612;155194
178054;154020;175628;155476
177500;153952;178176;154708
179764;154830;179342;155494
176842;154534;180140;156062
176900;154722;177576;154804
178452;154194;180512;155244
176594;154048;179868;156356
178108;154778;177900;155252
179994;153858;179356;154818
179696;153594;177028;154648
178334;154162;177158;156546
178250;153578;177164;155350
179622;154714;179360;154984
179164;155312;180200;155042
179048;154352;178908;155020
176756;153570;175684;153944
178006;153988;176260;155568
178358;154346;178562;155172
178376;155108;177802;155072
176582;155802;177190;154108
174452;155442;178224;154692
177674;153858;178556;154458
176292;154866;177130;154830
179784;154924;177406;156086
179772;154032;177756;153970
181930;154568;178560;155340
178698;154666;177662;154640
179788;154976;181704;154610
179834;153792;177168;154624
179170;154216;180222;155556
178532;154968;179510;156256
177788;154044;177198;156068
178530;154122;178394;155630
178328;153914;177942;156120
181360;154182;178690;156078
180650;153836;178870;154110
178694;153950;175428;155918
177740;153354;180392;154866
178676;153912;175444;154142
178924;154772;178842;156500
177356;154976;176356;154928
177382;154504;178964;154094
177826;154386;178090;154162
179270;155638;175622;154674
179112;153624;179644;155374
176712;155416;174118;156322
176524;155220;178928;155740
180330;155028;178550;154720
178660;154928;176628;154528
178580;154766;175994;155602
176788;153570;177054;154762
178206;153324;179432;154198
179678;153686;177500;154622
177208;154474;178704;154038
177490;154146;178374;154856
177346;153442;177940;155498
180726;153424;179590;155588
179338;154920;180942;155396
178836;154016;179296;155610
177982;154478;176978;155866
179454;154694;179380;155602
178542;154352;176006;154574
177156;154162;178618;155636
180090;154916;179848;154474
177324;153262;176946;155498
176432;153938;177490;155928
179854;154368;179732;155152
177444;154432;178780;154398
179780;154928;179150;156236
176344;154592;175818;155068
176178;155112;178562;155906
179442;153120;178910;155088
180504;154560;178712;154906
178356;154504;179556;154728
176952;154990;177558;156234
179490;154748;177538;154650
177754;155050;175776;155194
179134;153820;177116;155762
179166;154280;176240;155292
175660;153900;178364;155372
179380;154290;179828;153602
177960;154042;176612;154088
178558;154202;177696;155336
176656;153200;178440;154396
178140;153472;178174;156132
176848;154280;178512;154322
177792;153410;178452;155742
178106;153946;179404;155018
177916;153678;176772;156248
176684;154746;177820;155658
177134;154222;176800;155606
180656;153762;177628;153816
179480;154644;180366;154372
178908;155902;180060;154346
176778;155424;179264;155336
179972;153864;177724;155212
178096;153610;177350;155514
179134;154792;179944;155756
179048;153972;179412;156058
176640;153846;179034;154780
176736;154140;178836;155050
176940;153776;178988;156286
178422;153882;178190;155094
179570;154076;177430;154632
179818;156044;177708;154530
181312;154170;178326;155556
178974;154614;180052;156440
177952;155192;177354;155350
178516;154996;177636;154294
178600;156100;174990;153576
179048;153816;179064;155196
178958;154828;179316;156036
178058;155516;177886;154990
178518;154090;178742;155136
178808;153598;177780;154152
178576;156212;177162;155152
178352;154358;178862;154588
180090;155450;177766;154914
176110;154372;177616;156514
178740;154496;180964;154468
177146;154590;176722;154368
177832;154076;178748;156474
178642;153516;177668;156268
180068;153236;179262;155042
175662;153330;178592;156246
178602;153254;178336;154166
177932;152778;181526;154424
178494;154942;177970;156162
181178;153906;178664;155292
180148;155002;177494;155462
176058;154254;175742;156156
176516;155226;178004;154972
180442;153850;177598;155552
176924;153698;178180;155860
178102;154670;177772;156530
179130;153502;178460;155058
179196;154366;179162;156288
179086;153378;177448;155344
177802;153776;178168;154030
178572;154946;177190;154628
178598;154094;176836;155362
178504;154776;176408;155764
177392;154952;179820;154984
180226;153224;177186;154400
177998;155396;177742;155478
177628;154308;177436;155340
181140;154406;178414;155464
179848;153176;177970;155564
177268;153670;176810;155072
175918;154282;180306;155212
180040;155264;177778;155380
179444;154488;175776;155578
177460;154452;179606;154226
178892;154724;177438;155684
178808;155342;177052;155522
179178;154324;176312;154596
177630;153654;178558;154352
178840;155100;176380;154118
177140;154810;180178;155274
177810;154850;179152;154954
177162;154530;178836;155054
178064;154228;176828;154984
178522;155678;178050;155528
179082;153246;178730;155020
180096;153390;176614;155738
176994;155576;179078;154958
178650;153610;179568;154330
178054;153936;176902;155734
177678;154376;179556;156054
177656;155224;177830;155132
178160;153780;176810;154790
178364;154192;177806;154650
178076;154644;177336;156378
178674;153762;175554;154882
178630;154242;177660;154006
177040;154850;177610;154594
178024;154806;177062;155946
179910;154532;180232;155766
178716;154272;176530;153484
181052;154540;177820;155388
176120;153616;177278;155832
179248;153756;179234;154412
