greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
109306;93182;109878;92756
109268;93202;107464;92686
107782;92648;108998;92030
110356;92704;107654;93570
108062;92592;108840;93448
108286;92640;108584;92572
109432;92284;109176;93356
108088;92862;107216;92764
110378;92176;108526;92612
107054;92270;107856;93320
108942;92254;108142;93018
108460;92730;108620;93574
108982;92458;108556;92986
108740;92552;108324;92582
107416;93016;107650;93014
107372;93158;108076;93390
109114;92416;107778;92816
109730;93632;108244;93426
108562;92918;109028;92664
108060;93470;107964;93026
107830;93612;107762;92598
108440;91984;107868;92776
109266;92310;109224;92732
109008;92780;107816;93124
108978;93048;109980;93448
107428;93214;108738;93038
107544;92524;108674;93164
109228;93200;107718;93338
111100;91930;109086;92642
106820;92226;109282;94100
109378;92762;107918;92178
107168;93324;109272;94086
108946;93248;108686;93952
108182;92556;109532;92318
109288;92328;108994;94162
109108;92602;107694;92770
109580;92770;109010;92606
108458;92912;106898;93618
108940;92648;108092;92642
108824;92054;108030;93100
109594;92306;108934;92976
108478;92236;108486;93674
110534;92290;108484;93568
109076;92930;107686;93072
108778;91982;108386;93286
108464;92432;108402;92826
107910;92518;109300;92710
107558;92718;107154;92840
107384;93156;109220;93008
107394;92898;108800;93084
107630;92606;107588;92916
108390;92350;107212;93298
108816;92156;109064;93902
107944;93408;109510;93002
108118;92120;109718;92758
108142;91940;110540;93134
108594;92370;108838;93110
108808;92118;110366;93258
107760;92292;108962;92818
109852;92872;108620;93704
109010;92290;107866;93170
107756;91928;106918;92566
107996;92784;108958;93278
108744;92682;108240;92430
107332;92422;108590;93144
109348;92166;108442;92604
107564;92848;108728;93206
108746;92802;107602;93262
108166;92606;108952;93218
109002;92238;109764;92840
108130;92478;107672;92918
108766;92158;108526;92466
108018;92140;107878;94106
107688;93126;108212;92854
108690;93226;108206;92630
108606;92812;108560;92268
107420;92610;110026;93672
110422;92658;108724;92794
106974;93444;109524;92916
109032;91936;108642;94066
109412;92630;107930;92426
107856;92582;108136;93016
108694;92964;108114;92834
109352;92750;108960;92644
108782;93176;107460;93224
110288;92256;105920;94250
108540;92394;109820;92778
108450;91880;107030;91904
108332;93058;107850;93040
106816;92806;108142;93376
108382;92690;110378;92746
110486;93380;106080;92590
110824;93128;107366;93076
107380;92192;108022;93288
107476;92870;106064;93362
107222;92162;110598;92672
107532;93300;108638;92726
108996;93064;108792;92562
108192;93010;109438;93358
110192;92582;109224;92838
107258;92596;107406;92728
107174;92130;108958;92890
110338;92132;108710;93318
107772;92824;107942;93084
109878;92578;108852;93752
108964;92096;108876;92764
110124;92526;108978;92780
109056;92910;108838;93434
109632;93260;109666;92978
109396;92490;109370;93356
109850;92828;108862;92278
108412;93290;107630;92096
107316;92424;108678;92698
107752;92360;108632;93388
108866;93588;107392;92682
107882;92230;109264;92968
108102;92276;108318;92236
107764;92942;108526;93542
108896;91640;107286;93404
108702;92694;108286;92746
109038;93190;108866;92770
109588;92776;110332;94052
110356;93094;108524;92656
108520;93176;108298;93168
109206;92718;108494;92664
108258;92892;107256;93226
108448;92340;108950;92784
107278;93298;108176;93398
107496;92940;107740;93330
108410;92124;107470;93706
108612;92976;108324;92706
108600;92448;108854;92684
107520;92234;109014;93510
107628;92500;108556;93274
108024;92692;109368;93184
108752;92418;108284;92900
108878;92408;110762;93078
108334;91648;107728;93382
111298;93024;108874;92940
107528;93462;107302;93510
107740;93602;107886;92694
107326;92226;107376;92778
109204;92550;108068;93790
107048;91874;108342;92980
108674;93344;107142;93596
110208;92226;108230;93144
108304;92292;107932;92870
109084;93066;107874;92868
109354;92670;109798;93120
109494;92898;109416;93222
108550;92448;106396;92562
108536;92398;109004;93656
108158;93096;109774;92882
108734;92124;107994;92934
108270;92230;109780;93440
107122;92480;108334;93380
107902;93082;108546;92344
107412;92884;108914;92830
107530;91962;109726;93580
107990;92484;109160;93126
107622;92344;108432;92698
109874;93092;110224;93288
109918;92502;107928;92768
109546;92832;107056;93482
110364;92598;110030;92724
109804;92078;109030;93504
108754;92684;108200;93112
109048;93002;107878;92670
107996;92954;106890;92394
108642;92384;107298;92778
109432;92604;107826;93078
108092;92392;109084;92952
107786;92610;107824;93052
107950;92972;108758;93176
109232;92570;108300;92470
109790;93622;107372;93142
108500;92296;109064;93146
107500;93892;107654;92938
109156;92312;108784;92554
107088;92854;108696;94010
109516;93208;107962;92386
109874;92608;107784;94290
108426;92510;106602;93130
109700;92394;108960;93008
108868;92168;108322;93144
109712;92668;107872;92838
111368;92844;108774;93058
108222;93088;109632;93080
108656;93790;108104;93074
109346;93470;108354;92220
110220;92478;108412;93398
107352;92550;107268;93558
109182;92566;108196;93240
108128;91862;108524;93966
107454;92962;110414;92128
109340;92052;108594;92522
107920;92216;108738;93012
108330;92800;109180;92758
108444;92662;106628;92912
108644;92502;109148;93056
