greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
1144515237;673279959;1152706899;702618333
1047772862;690151479;1148366908;699797544
1166114873;680820845;1056725166;659116838
1215374625;709819456;1162559235;700119612
1125768877;709708726;1144669735;690321164
1193825079;688514275;1157381934;679919777
1155811636;707393541;1113681359;645855570
1176635474;679755626;1095359418;694709660
1151297905;666758929;1136787720;709059492
1219205920;692632130;1202844627;702124203
1199747898;699034725;1065186315;680361276
1124037337;697366476;1173151413;705043993
1176184161;676672941;1080994689;717130392
1185995577;662772880;1149737070;674244286
1231345859;719339134;1110460107;734628679
1121460846;698407673;1174744335;706944063
997679038;678649984;1182433890;682623254
1115839084;701646896;1123789281;718269073
1047570432;710954634;1132132493;735599594
1135873684;692498250;1113084127;653329970
1125421809;708538159;1149069922;710717647
1166358776;708113058;1098807497;666042901
1146501935;701383812;1115984367;679944440
1172014054;676016687;1109405169;693946829
1175258009;701557197;950305244;704627729
1186125169;742254525;1021093806;685040857
1159618395;698247546;1180865018;691259557
1247157421;688565018;1179360587;662767793
1106176422;685098530;1173544279;698232151
1098410716;690375766;1134756621;695343615
1208877631;653884133;1092513466;697673185
1143400507;726306092;1135430914;723242342
1091641118;660492380;1111791152;714872051
1189683766;700601652;1067327745;685002177
1153550279;676044819;1158389126;732635024
1226280414;723270187;1170720721;726058580
975483510;721398968;1136432880;711951957
1188071382;725725933;1156321838;670607242
1140754464;693607653;1212611064;712517270
1208485421;752565410;1119857231;726204053
1100884588;664324841;1079546655;711280304
1108042558;725154534;1218330353;731844081
1263066059;694775996;1179298361;700971150
1215246789;681395975;976727692;713556318
1186381614;751421696;1120040993;768065576
1152574746;688355272;1112796015;704759133
1086310132;721443766;1121275590;697032438
1159948614;711755753;1147906755;744808836
1145726763;671022833;1141113188;735015496
1072822608;663206998;1124401259;699576067
1159831560;746414380;1041950258;701243424
1172210446;680970123;1108806538;658979305
1100341554;731326317;1129127965;679323189
1067119738;715192462;1199503592;697039784
1134790615;690515738;1058035580;730039551
1168445522;656948562;1126419906;684327328
1111365611;676176750;1149728588;663835565
1132177127;710756857;1130349137;711574095
1158187009;704241444;1089265239;687976811
1187657098;643048604;1207907695;678816195
1141633153;728003797;1103533827;689521189
1115574535;733208806;1154828335;679173915
1122311782;685802872;1138338637;685170502
1134353025;663045681;1127346639;707454437
1154741030;696858096;1127339419;688024245
1151249551;707584093;1177899957;647936283
1136777096;725524942;999846846;716023747
1054481714;742300274;1208436862;678997556
1301487325;733988401;1173180606;759086251
1085187933;743994106;1181927496;660169508
1162881166;638477186;1188255191;696664102
1030732643;662399202;1238873967;683361565
1159885170;709994047;1170335810;735533516
1160825635;669354660;1012633345;699827391
1100158438;684875404;1167424661;669644602
1186143379;708782407;1148460312;727790258
1214771294;698131576;1097853083;667240619
1057356231;681965585;1113308898;725435120
1160530665;647266080;1108240500;695181342
1120927313;717434617;1133493459;689115576
1177776106;699300900;1179660907;661790088
1241450639;683038651;1110441048;696714136
1118502182;720127663;1184748916;722258681
1192717285;712778487;1105585682;697925643
1045137541;709415729;1051236677;710224683
