greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
15567846;14029030;15592004;13993526
15574634;14077138;15633314;14091990
15568300;14045046;15515286;14090628
15718880;14002170;15619442;14103882
15631488;14166946;15772860;14198478
15596572;14073070;15587676;14119758
15563836;14003696;15729978;14131550
15607540;14003650;15624222;14004852
15464010;14165464;15544296;14040660
15654182;13963540;15451158;14133466
15559544;14023842;15497068;13991072
15864914;14026404;15622192;14070904
15637750;13977120;15631332;14027616
15638898;14083874;15736130;14069834
15712042;14050602;15643880;14074648
15721724;14057018;15667702;14041776
15575832;14034008;15615060;14009078
15743738;13982252;15552196;14080128
15582934;13978902;15447522;14109244
15627178;14040956;15543028;14107048
15634414;14048696;15703624;14068060
15468130;13981298;15608346;14091966
15622334;14070866;15460036;14047432
15625710;14052926;15703372;14075672
15702826;14056558;15514682;14077218
15528722;14070608;15673172;14115584
15884058;14052642;15749726;14117210
15498562;13990570;15696924;14068560
15801746;14014296;15649534;14163932
15621050;13973892;15584230;14048578
15671508;14140202;15700732;14111428
15527332;14038808;15540182;14062596
15677368;14044238;15655608;14013762
15771968;14017226;15525870;14048528
15552142;14008222;15875710;14039232
15751998;14056812;15557622;14083168
15679756;14081288;15734244;14100710
15742976;14053462;15719208;14058062
15789038;14047174;15620958;14045896
15661968;14035778;15583946;14141426
15669886;14145316;15648460;14038624
15825284;14110380;15579350;14112040
15599880;14017802;15734426;14067766
15615868;14111890;15525922;14022372
15479874;14069994;15646304;14143862
15715924;14103526;15661954;14115218
15698822;14040720;15777196;14019206
15653192;14025926;15611576;14058544
15904582;14049334;15725404;13989664
15673048;14074398;15806158;14162138
15835208;13939852;15822064;14157384
15735930;14117844;15599462;14101620
15549936;14025956;15763066;14064502
15663938;13994194;15615264;14093898
15686386;14042840;15729592;14066844
15436080;14079626;15744316;14168118
15454106;14036878;15655916;14149332
15488462;14016174;15723554;14008560
15629488;14009848;15598856;13950756
15762380;14074358;15575566;14033568
15548686;13984926;15549618;14170940
15580930;14000232;15537650;14023386
15605962;14097780;15573090;14105838
15589506;13974850;15627496;14106428
15771920;14082758;15498528;14216824
15677114;14104804;15640422;14020628
15644802;13970216;15663666;14036816
15530456;14054774;15561214;13996490
15625248;14022286;15689576;13990876
15632502;14100776;15604584;14133924
15543558;14137602;15597448;14135504
15576814;14083242;15611436;13994954
15734158;14055332;15732802;14207886
15708442;14014976;15624422;14113502
15547666;13963806;15638204;14054820
15563308;14016256;15653792;14023222
15461108;14029910;15537366;13996304
15607682;13993428;15712636;14048584
15647920;14063394;15695122;14019882
