greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
300112;275628;299456;276304
297154;276506;301146;276038
299718;275082;301142;276726
300366;275832;298432;276328
299520;274378;300630;276622
301254;275574;301074;275838
298896;275002;301204;276354
299644;275274;298702;275102
299098;275478;299076;275184
299524;275508;300296;275738
300610;275262;298006;276376
299502;276090;297838;277338
302088;275404;301798;276502
300466;274646;299074;275920
300858;275958;297038;276266
298818;275262;299204;275338
299330;276056;298734;275286
300096;275082;298938;275656
301154;274880;301990;277036
300092;275960;298184;275918
296716;275452;299692;276460
301704;275884;300440;276470
298730;275468;300362;276450
300990;275532;298466;276060
300170;275478;299982;275878
299318;274848;301462;275650
300454;275768;298760;275896
298946;275798;300054;276218
299306;275362;297376;276648
301678;275724;298788;276688
302176;274594;300826;276958
297784;275354;301126;276340
298676;275138;297222;276100
299912;275526;299054;276962
300212;275532;301060;275516
299342;276034;300750;275396
297704;274490;299040;276770
301730;276346;301394;275198
300356;275498;300362;276242
298770;276292;299648;275572
300960;276176;299018;275746
300542;275916;299384;276478
301306;275902;300730;277022
298260;275338;300702;275124
299228;275788;299536;276278
297868;275704;300568;275834
300342;275426;300916;275820
299086;274786;299204;277072
300486;275146;300294;275886
294756;274940;298482;276044
300724;275478;297574;276142
299734;275178;300110;276330
299280;275592;299010;275406
301252;275116;299172;277244
298596;274438;299078;276308
300092;275806;301554;275456
299668;275018;302238;275794
299848;274212;301906;276762
298218;275700;300114;275872
299248;274582;298624;276114
301546;275806;299868;275286
298908;275818;302014;275622
297684;275994;301158;275940
298054;274990;299206;276290
300078;274394;298862;276156
299828;274850;300526;276482
298828;275614;300920;276672
299454;274994;300686;276290
298402;274606;299426;276224
301138;275556;299018;275528
299990;275060;301474;276712
301660;275366;299460;275764
299268;274774;298566;275420
297860;275024;298268;275446
302382;276050;297994;275930
303234;276108;300262;275628
297204;275738;299052;274828
299474;275186;298740;276410
297518;275642;301960;275940
298818;274328;298004;276438
300672;276198;301566;274410
300312;275634;299566;275436
298396;275176;300936;276226
298492;275356;298640;275406
299552;275542;298854;276428
299440;276050;299978;276000
299702;275510;296916;275320
300270;275222;299508;275950
300772;274822;300120;277372
300172;274972;302728;275546
297362;276098;301748;276116
299252;276108;298816;276008
300078;275036;302746;276226
300812;275674;297920;276696
299568;276242;297956;276524
298686;275270;301062;275894
299550;275990;299486;275960
297396;275058;300008;275078
298754;275484;298668;276348
299520;274086;300158;275206
299982;275516;300890;276864
299698;274720;298786;275656
299192;274332;296532;276312
300274;275306;296858;275432
297338;275810;301688;275336
298758;275278;300082;276870
300924;275952;299774;275574
297662;274830;300768;275478
298568;276312;298270;276292
300406;275910;297744;275338
299672;275932;298972;275520
301836;275236;299872;275888
299594;274938;300288;276030
298870;275698;300938;275010
302734;275062;299160;275340
299654;275922;299388;276116
301322;276116;300388;276636
301392;275568;300922;275680
298704;275386;299510;276820
302012;275094;299940;277082
300584;274822;297000;276760
300248;275304;299208;275798
301012;274392;298746;275692
301182;274974;298854;274898
301174;274300;300472;277102
299620;275490;298956;276698
296732;276402;301008;277192
301378;276044;299982;276098
299178;275714;301624;274632
298056;275678;298918;276526
296924;275668;299232;276346
298606;275306;295350;277312
299986;275298;299848;276098
297222;275580;298342;276462
298770;275874;297280;275044
299856;275362;298162;276896
298354;275876;298814;274962
299368;274510;300306;276006
298128;275438;298730;276390
296996;274966;300190;276906
300450;274684;301492;276740
299576;275566;300408;275558
298680;274956;302202;276640
300260;275334;300856;275914
300720;275868;302464;275092
302076;274774;299282;275800
298632;276036;299460;276738
297416;275356;299436;276238
300334;274916;298938;276188
298308;275358;300492;276402
298448;275706;302108;275534
298554;274692;299006;275624
299626;276230;297562;275798
297286;274220;300140;276688
301638;275516;300764;276052
303410;274988;299424;275858
300782;275780;299268;276316
298658;275124;300180;275222
300344;276346;301576;275450
299798;275750;301102;275390
297990;275270;299904;276122
298356;275636;300038;277272
300020;275926;302568;275256
298276;275728;298480;275552
299714;275110;300554;276094
299074;275140;301136;275786
297948;274932;299714;276464
297864;275432;297814;275610
298888;275544;299188;275668
299888;276696;298182;276106
299108;274780;299092;275626
298852;275008;299384;275642
300354;274938;298562;275836
298406;274632;298506;277118
300780;274698;301872;275330
298760;275092;301892;275740
300682;276064;299554;277222
301744;276398;299226;276542
298208;275680;300676;275964
301056;275240;299626;276736
298774;275256;301748;275504
297768;275316;299642;276550
300108;276268;300228;276516
299590;276106;300994;276434
302436;274984;299396;275880
299680;275730;301286;276798
298210;275356;300358;275252
301322;274974;299734;276922
299066;274760;300588;276514
302790;276548;300856;275602
299182;275310;298032;275902
299538;274972;299122;275862
297626;275888;301128;276154
300426;276254;298554;275526
301260;275452;297828;276076
300226;276074;300260;275514
300614;275970;299794;275916
296942;275550;300628;276056
301760;275328;297678;275704
300152;274732;301660;276332
