Execution Number;Greedy - min value;Greedy - average value;Steepest - min value;Steepest - average value
1;30;30;30;30
2;30;30;28;29
3;30;30;28;30
4;30;30;28;31
5;28;30;28;30
6;28;30;28;30
7;28;30;28;30
8;28;30;28;30
9;28;30;28;30
10;28;30;28;31
11;28;30;28;30
12;28;30;28;31
13;28;30;28;30
14;28;30;28;30
15;28;30;28;30
16;28;30;28;30
17;28;30;28;30
18;28;30;28;30
19;28;30;28;30
20;28;30;28;30
21;28;30;28;30
22;28;30;28;30
23;28;30;28;30
24;28;30;28;30
25;28;30;28;30
26;28;30;28;30
27;28;30;28;30
28;28;30;28;30
29;28;30;28;30
30;28;30;28;30
31;28;30;28;30
32;28;30;28;30
33;28;30;28;30
34;28;30;28;30
35;28;30;28;30
36;28;30;28;30
37;28;30;28;30
38;28;30;28;30
39;28;30;28;30
40;28;30;28;30
41;28;30;28;30
42;28;30;28;30
43;28;30;28;30
44;28;30;28;30
45;28;30;28;30
46;28;30;28;30
47;28;30;28;30
48;28;30;28;30
49;28;30;28;30
50;28;30;28;30
51;28;30;28;30
52;28;30;28;30
53;28;30;28;30
54;28;30;28;30
55;28;30;28;30
56;28;30;28;30
57;28;30;28;30
58;28;30;28;30
59;28;30;28;30
60;28;30;28;30
61;28;30;28;30
62;28;30;28;30
63;28;30;28;30
64;28;30;28;30
65;28;30;28;30
66;28;30;28;30
67;28;30;28;30
68;28;30;28;30
69;28;30;28;30
70;28;30;28;30
71;28;30;28;30
72;28;30;28;30
73;28;30;28;30
74;28;30;28;30
75;28;30;28;30
76;28;30;28;30
77;28;30;28;30
78;28;30;28;30
79;28;30;28;30
80;28;30;28;30
81;28;30;28;30
82;28;30;28;30
83;28;30;28;30
84;28;30;28;30
85;28;30;28;30
86;28;30;28;30
87;28;30;28;30
88;28;30;28;30
89;28;30;28;30
90;28;30;28;30
91;28;30;28;30
92;28;30;28;30
93;28;30;28;30
94;28;30;28;30
95;28;30;28;30
96;28;30;28;30
97;28;30;28;30
98;28;30;28;30
99;28;30;28;30
100;28;30;28;30
101;28;30;28;30
102;28;30;28;30
103;28;30;28;30
104;28;30;28;30
105;28;30;28;30
106;28;30;28;30
107;28;30;28;30
108;28;30;28;30
109;28;30;28;30
110;28;30;28;30
111;28;30;28;30
112;28;30;28;30
113;28;30;28;30
114;28;30;28;30
115;28;30;28;30
116;28;30;28;30
117;28;30;28;30
118;28;30;28;30
119;28;30;28;30
120;28;30;28;30
121;28;30;28;30
122;28;30;28;30
123;28;30;28;30
124;28;30;28;30
125;28;30;28;30
126;28;30;28;30
127;28;30;28;30
128;28;30;28;30
129;28;30;28;30
130;28;30;28;30
131;28;30;28;30
132;28;30;28;30
133;28;30;28;30
134;28;30;28;30
135;28;30;28;30
136;28;30;28;30
137;28;30;28;30
138;28;30;28;30
139;28;30;28;30
140;28;30;28;30
141;28;30;28;30
142;28;30;28;30
143;28;30;28;30
144;28;30;28;30
145;28;30;28;30
146;28;30;28;30
147;28;30;28;30
148;28;30;28;30
149;28;30;28;30
150;28;30;28;30
151;28;30;28;30
152;28;30;28;30
153;28;30;28;30
154;28;30;28;30
155;28;30;28;30
156;28;30;28;30
157;28;30;28;30
158;28;30;28;30
159;28;30;28;30
160;28;30;28;30
161;28;30;28;30
162;28;30;28;30
163;28;30;28;30
164;28;30;28;30
165;28;30;28;30
166;28;30;28;30
167;28;30;28;30
168;28;30;28;30
169;28;30;28;30
170;28;30;28;30
171;28;30;28;30
172;28;30;28;30
173;28;30;28;30
174;28;30;28;30
175;28;30;28;30
176;28;30;28;30
177;28;30;28;30
178;28;30;28;30
179;28;30;28;30
180;28;30;28;30
181;28;30;28;30
182;28;30;28;30
183;28;30;28;30
184;28;30;28;30
185;28;30;28;30
186;28;30;28;30
187;28;30;28;30
188;28;30;28;30
189;28;30;28;30
190;28;30;28;30
191;28;30;28;30
192;28;30;28;30
193;28;30;28;30
194;28;30;28;30
195;28;30;28;30
196;28;30;28;30
197;28;30;28;30
198;28;30;28;30
199;28;30;28;30
200;28;30;28;30
201;28;30;28;30
202;28;30;28;30
203;28;30;28;30
204;28;30;28;30
205;28;30;28;30
206;28;30;28;30
207;28;30;28;30
208;28;30;28;30
209;28;30;28;30
210;28;30;28;30
211;28;30;28;30
212;28;30;28;30
213;28;30;28;30
214;28;30;28;30
215;28;30;28;30
216;28;30;28;30
217;28;30;28;30
218;28;30;28;30
219;28;30;28;30
220;28;30;28;30
221;28;30;28;30
222;28;30;28;30
223;28;30;28;30
224;28;30;28;30
225;28;30;28;30
226;28;30;28;30
227;28;30;28;30
228;28;30;28;30
229;28;30;28;30
