Algorithm Name;Problem File Name;Problem Size;Optimum;Value;Distance from optimum;Measure;Execution Time;Evaluated states number
Greedy;bur26g;26;10117172;1.0144134E7;26962.733333333334;0.002665046451057008;5404352.0;102.73333333333333
Steepest;bur26g;26;10117172;1.014051E7;23338.666666666668;0.0023068369962146204;4715861.0;23.466666666666665
Greedy;esc16e;16;28;30.0;2.2666666666666666;0.08095238095238094;90730.0;7.2
Steepest;esc16e;16;28;30.0;2.4;0.0857142857142857;150585.0;4.733333333333333
Greedy;lipa40b;40;476581;567399.0;90818.4;0.19056235980872085;1.2606364E7;75.26666666666667
Steepest;lipa40b;40;476581;567706.0;91125.13333333333;0.19120597198237724;2.5660706E7;24.0
Greedy;nug18;18;1930;2019.0;89.06666666666666;0.04614853195164075;521503.0;30.6
Steepest;nug18;18;1930;2012.0;82.8;0.04290155440414509;579891.0;12.333333333333334
Greedy;sko100a;100;152002;154543.0;2541.2;0.016718201076301627;1.0288697807E10;700.0
Steepest;sko100a;100;152002;155248.0;3246.0;0.021354982171287215;4.70084472E9;117.93333333333334
Greedy;tai80a;80;13557864;1.4082587E7;524723.6;0.038702527182747956;3.18295564E8;184.73333333333332
Steepest;tai80a;80;13557864;1.4066541E7;508677.06666666665;0.037518968081304456;8.26572349E8;50.266666666666666
Greedy;wil100;100;273038;275445.0;2407.3333333333335;0.008816843565120362;1.0549431014E10;703.9333333333333
Steepest;wil100;100;273038;275850.0;2812.0;0.010298932749287644;4.746801559E9;119.06666666666666
Greedy;kra30a;30;88900;94871.0;5971.333333333333;0.06716910386201726;6839114.0;72.6
Steepest;kra30a;30;88900;95344.0;6444.0;0.0724859392575928;7804794.0;23.133333333333333
Greedy;scr12;12;31410;33495.0;2085.4666666666667;0.0663949909795182;63165.0;18.066666666666666
Steepest;scr12;12;31410;33121.0;1711.8666666666666;0.0545006898015494;78277.0;7.333333333333333
Greedy;sko81;81;90998;92542.0;1544.9333333333334;0.016977662512729218;2.987639817E9;470.46666666666664
Steepest;sko81;81;90998;93354.0;2356.266666666667;0.02589360938335641;1.562355178E9;90.93333333333334
Greedy;tho150;150;8133484;8290657.0;157173.33333333334;0.019324232190452865;1.11590175006E11;1498.8666666666666
Steepest;tho150;150;8133484;8316718.0;183234.13333333333;0.022528369556432806;4.3036200599E10;205.6
Greedy;tai256c;256;44759294;4.4943356E7;184062.66666666666;0.0041122781486827445;1.08392789156E11;341.06666666666666
Steepest;tai256c;256;44759294;4.4951268E7;191974.66666666666;0.0042890459055647005;8.0180706697E10;44.333333333333336
