Algorithm Name;Problem File Name;Problem Size;Optimum;Value;Distance from optimum;Measure;Execution Time;Evaluated states number
Greedy;bur26g;26;10117172;1.0168999E7;51827.066666666666;0.005122683163503267;4247470.0;4792.133333333333
Steepest;bur26g;26;10117172;1.0160605E7;43433.066666666666;0.0042930046723201574;4441787.0;7259.333333333333
Simple heuristic;bur26g;26;10117172;1.1189353E7;1072181.6;0.10597641317158588;71333.0;325.0
Random;bur26g;26;10117172;1.0463216E7;346044.86666666664;0.03420371489845845;4525027.0;3768.5333333333333
Simulated Anneling;bur26g;26;10117172;1.0372796E7;255624.13333333333;0.02526636231284131;1.3204563E7;9562.666666666666
Tabu search;bur26g;26;10117172;1.0148361E7;31189.933333333334;0.003082870720526777;1.3630464E7;16495.2
Greedy;esc16e;16;28;31.0;3.3333333333333335;0.11904761904761901;76950.0;244.6
Steepest;esc16e;16;28;30.0;2.933333333333333;0.10476190476190474;122298.0;497.0
Simple heuristic;esc16e;16;28;34.0;6.0;0.2142857142857143;18342.0;120.0
Random;esc16e;16;28;37.0;9.866666666666667;0.35238095238095235;114788.0;205.93333333333334
Simulated Anneling;esc16e;16;28;34.0;6.4;0.22857142857142856;1234328.0;2193.5333333333333
Tabu search;esc16e;16;28;30.0;2.2666666666666666;0.08095238095238093;709403.0;2369.4
Greedy;lipa40b;40;476581;555150.0;78569.6;0.16486095752873067;1.5507569E7;9101.066666666668
Steepest;lipa40b;40;476581;566956.0;90375.2;0.18963240246673704;2.5806092E7;19085.0
Simple heuristic;lipa40b;40;476581;593118.0;116537.73333333334;0.2445287020114804;281473.0;780.0
Random;lipa40b;40;476581;601120.0;124539.4;0.261318432753299;2.0767158E7;11848.733333333334
Simulated Anneling;lipa40b;40;476581;573157.0;96576.33333333333;0.2026441115641063;8.5039153E7;29058.333333333332
Tabu search;lipa40b;40;476581;563504.0;86923.0;0.18238872300826095;5.0263859E7;37138.86666666667
Greedy;nug18;18;1930;2023.0;93.6;0.04849740932642487;594652.0;1486.2
Steepest;nug18;18;1930;2019.0;89.06666666666666;0.046148531951640766;528184.0;1755.4
Simple heuristic;nug18;18;1930;2509.0;579.2;0.3001036269430052;14126.0;153.0
Random;nug18;18;1930;2256.0;326.1333333333333;0.16898100172711575;573245.0;1052.8666666666666
Simulated Anneling;nug18;18;1930;2225.0;295.6;0.15316062176165804;2034421.0;3478.9333333333334
Tabu search;nug18;18;1930;2004.0;74.26666666666667;0.03848013816925735;1800476.0;5463.8
Greedy;sko100a;100;152002;154410.0;2408.9333333333334;0.015848037087231308;1.0617921927E10;1063237.8666666667
Steepest;sko100a;100;152002;155266.0;3264.5333333333333;0.021476910391529935;4.670375186E9;591361.0
