Algorithm Name;Problem File Name;Problem Size;Optimum;Value;Distance from optimum;Measure;Execution Time;Evaluated states number
Greedy;bur26g;26;10117172;10119660;2488;2.459185234767186E-4;11998628;99
Greedy;bur26g;26;10117172;10119471;2299;2.2723741377531193E-4;8067075;125
Greedy;bur26g;26;10117172;10122640;5468;5.404672372872578E-4;4864338;88
Greedy;bur26g;26;10117172;10159722;42550;0.004205720729073302;2735180;88
Greedy;bur26g;26;10117172;10147150;29978;0.002963080987453806;3938893;81
Greedy;bur26g;26;10117172;10147436;30264;0.0029913497566315963;3628532;75
Greedy;bur26g;26;10117172;10121359;4187;4.138508270888347E-4;7931933;157
Greedy;bur26g;26;10117172;10162330;45158;0.00446350027458266;5044804;120
Greedy;bur26g;26;10117172;10158952;41780;0.004129612504363868;6025486;109
Greedy;bur26g;26;10117172;10118719;1547;1.5290834237077316E-4;5663346;145
Greedy;bur26g;26;10117172;10151448;34276;0.0033879032599228322;4773598;84
Greedy;bur26g;26;10117172;10202177;85005;0.008402051482370766;3916937;77
Greedy;bur26g;26;10117172;10144413;27241;0.0026925508432593614;4779509;112
Greedy;bur26g;26;10117172;10143664;26492;0.0026185182974056385;4291333;101
Greedy;bur26g;26;10117172;10142880;25708;0.0025410262867923963;3405702;80
Steepest;bur26g;26;10117172;10146703;29531;0.0029188986803822255;4043395;20
Steepest;bur26g;26;10117172;10118819;1647;1.6279252739797247E-4;6362479;31
Steepest;bur26g;26;10117172;10122582;5410;5.347344099714821E-4;3892907;19
Steepest;bur26g;26;10117172;10146024;28852;0.0028517850640475424;5029481;25
Steepest;bur26g;26;10117172;10118598;1426;1.4094847848786202E-4;5100496;26
Steepest;bur26g;26;10117172;10209612;92440;0.009136940639143033;3759970;19
Steepest;bur26g;26;10117172;10119471;2299;2.2723741377531193E-4;5467225;27
Steepest;bur26g;26;10117172;10167598;50426;0.004984199141815519;4606427;22
Steepest;bur26g;26;10117172;10134058;16886;0.0016690434836928738;4051897;21
Steepest;bur26g;26;10117172;10121950;4778;4.722663605995826E-4;3495483;17
Steepest;bur26g;26;10117172;10144610;27438;0.002712022687762944;4770116;24
Steepest;bur26g;26;10117172;10146037;28865;0.002853070008101078;4719394;24
Steepest;bur26g;26;10117172;10168549;51377;0.005078197741424185;4095545;21
Steepest;bur26g;26;10117172;10122172;5000;4.94209251359965E-4;6325037;31
Steepest;bur26g;26;10117172;10120877;3705;3.662090552577341E-4;5018077;25
Greedy;esc16e;16;28;32;4;0.14285714285714285;90313;8
Greedy;esc16e;16;28;28;0;0.0;133801;9
Greedy;esc16e;16;28;30;2;0.07142857142857142;66389;6
Greedy;esc16e;16;28;30;2;0.07142857142857142;83768;8
Greedy;esc16e;16;28;32;4;0.14285714285714285;80496;5
