Algorithm Name;Problem File Name;Problem Size;Optimum;Value;Distance from optimum;Measure;Execution Time;Evaluated states number
Greedy;sko81;81;90998;92648;1650;0.018132266643222927;3201053973;443235
Greedy;sko81;81;90998;92914;1916;0.021055407811160685;2647375332;381057
Greedy;sko81;81;90998;92822;1824;0.02004439658014462;3368964432;483657
Greedy;sko81;81;90998;92578;1580;0.017363018967449833;3443225624;488011
Greedy;sko81;81;90998;92838;1840;0.020220224620321327;3046569103;418708
Greedy;sko81;81;90998;92280;1282;0.014088221719158663;2986113608;406800
Greedy;sko81;81;90998;92438;1440;0.015824523615903648;4050008140;542081
Greedy;sko81;81;90998;93622;2624;0.02883579858897998;2703538488;362927
Greedy;sko81;81;90998;92998;2000;0.021978505022088396;3328811184;452775
Greedy;sko81;81;90998;92474;1476;0.016220136706301236;3602893293;491241
Greedy;sko81;81;90998;92508;1510;0.01659377129167674;3662074677;496457
Greedy;sko81;81;90998;93278;2280;0.025055495725180774;2910308264;391032
Greedy;sko81;81;90998;93436;2438;0.026791797621925757;3276918775;430826
Greedy;sko81;81;90998;92142;1144;0.012571704872634563;3283176429;432318
Greedy;sko81;81;90998;92190;1192;0.013099188993164685;3357708724;449534
Steepest;sko81;81;90998;93484;2486;0.02731928174245588;1571220315;262441
Steepest;sko81;81;90998;92806;1808;0.01986856853996791;1351872589;226801
Steepest;sko81;81;90998;92814;1816;0.019956482560056266;2071468412;291601
Steepest;sko81;81;90998;92466;1468;0.016132222686212883;2138183685;301321
Steepest;sko81;81;90998;92800;1802;0.019802633024901647;2292515307;320761
Steepest;sko81;81;90998;93208;2210;0.02428624804940768;2011900902;281881
Steepest;sko81;81;90998;92932;1934;0.02125321435635948;2302824987;314281
Steepest;sko81;81;90998;93660;2662;0.029253390184399656;1779313750;259201
Steepest;sko81;81;90998;93394;2396;0.0263302490164619;1943037692;285121
Steepest;sko81;81;90998;92234;1236;0.01358271610365063;2184777562;320761
Steepest;sko81;81;90998;92766;1768;0.019428998439526144;1955633693;288361
Steepest;sko81;81;90998;93226;2228;0.024484054594606473;1976854716;291601
Steepest;sko81;81;90998;92990;1992;0.021890591002000043;1821674748;268921
Steepest;sko81;81;90998;92328;1330;0.014615705839688785;1710957353;252721
Steepest;sko81;81;90998;92300;1302;0.014308006769379546;2132987436;314281
Simple heuristic;sko81;81;90998;108716;17718;0.19470757599068111;3470536;3240
Simple heuristic;sko81;81;90998;109142;18144;0.19938899756038594;3464165;3240
Simple heuristic;sko81;81;90998;110676;19678;0.21624651091232774;3531056;3240
Simple heuristic;sko81;81;90998;109290;18292;0.2010154069320205;3547336;3240
Simple heuristic;sko81;81;90998;111544;20546;0.22578518209191412;3609627;3240
Simple heuristic;sko81;81;90998;109260;18262;0.20068572935668916;4253407;3240
Simple heuristic;sko81;81;90998;109536;18538;0.20371876304973735;3553000;3240
Simple heuristic;sko81;81;90998;109072;18074;0.19861974988461284;4632455;3240
Simple heuristic;sko81;81;90998;109720;18722;0.2057407855117695;3502035;3240
Simple heuristic;sko81;81;90998;110500;19502;0.21431240247038397;3469828;3240
Simple heuristic;sko81;81;90998;109498;18500;0.20330117145431767;3526101;3240
Simple heuristic;sko81;81;90998;109126;18128;0.19921316952020923;3419571;3240
Simple heuristic;sko81;81;90998;110410;19412;0.21332336974438998;3418863;3240
Simple heuristic;sko81;81;90998;110068;19070;0.20956504538561288;3539904;3240
Simple heuristic;sko81;81;90998;110170;19172;0.21068594914173938;3383472;3240
Random;sko81;81;90998;102870;11872;0.13046440581111673;2603886038;410626
Random;sko81;81;90998;104020;13022;0.14310204619881756;2603891701;369826
Random;sko81;81;90998;103814;12816;0.14083826018154244;2603894886;376125
Random;sko81;81;90998;103666;12668;0.13921185080990792;2603870112;398971
Random;sko81;81;90998;103776;12778;0.14042066858612276;2603857724;422291
Random;sko81;81;90998;103794;12796;0.14061847513132156;2603865864;422829
Random;sko81;81;90998;103922;12924;0.14202509945273523;2603859848;399383
Random;sko81;81;90998;103910;12912;0.14189322842260269;2603878252;403085
Random;sko81;81;90998;103822;12824;0.1409261742016308;2603863387;401567
Random;sko81;81;90998;103728;12730;0.13989318446559265;2603857016;402967
Random;sko81;81;90998;104014;13016;0.1430361106837513;2603857017;407814
Random;sko81;81;90998;103776;12778;0.14042066858612276;2603857370;413305
Random;sko81;81;90998;103788;12790;0.1405525396162553;2603864095;418085
Random;sko81;81;90998;103942;12944;0.1422448845029561;2603864095;414266
Random;sko81;81;90998;103980;12982;0.1426624760983758;2603864803;413631
Simulated Anneling;sko81;81;90998;93724;2726;0.029956702345106487;331721111;25673
Simulated Anneling;sko81;81;90998;104128;13130;0.14428888547001034;76650858;6261
Simulated Anneling;sko81;81;90998;94130;3132;0.034418338864590434;304241373;24369
Simulated Anneling;sko81;81;90998;93194;2196;0.02413239851425306;443475491;34969
Simulated Anneling;sko81;81;90998;92842;1844;0.020264181630365502;385762165;30435
Simulated Anneling;sko81;81;90998;93992;2994;0.03290182201806633;276236772;22487
Simulated Anneling;sko81;81;90998;104766;13768;0.15130002857205652;41970624;4973
Simulated Anneling;sko81;81;90998;106006;15008;0.16492670168575133;40511414;4861
Simulated Anneling;sko81;81;90998;93602;2604;0.028616013538759092;256848699;20929
Simulated Anneling;sko81;81;90998;93518;2520;0.02769291632783138;336289507;27171
Simulated Anneling;sko81;81;90998;105786;14788;0.1625090661333216;46392497;5277
Simulated Anneling;sko81;81;90998;105340;14342;0.1576078595133959;52136967;5697
Simulated Anneling;sko81;81;90998;105018;14020;0.15406932020483965;42062643;4925
